[00:00] 大家好，欢迎来到零到全栈系列课程，今天咱们讲现代前端的第二讲，前端构建。
[28:47] 我们输入Vite
[28:48] 好我们看一看
[28:48] 好我们看一看到了吗
[28:51] 看到了吗
[28:52] 这个就是Vite它的依赖
[28:55] 就是如果说要运行Vite
[28:57] 它就依赖就是这些什么post css就是这些
[28:57] 那它就依赖就是这些什么post css
[29:01] 就是这些
[29:01] 然后
[29:01] 然后像这个它又依赖这三个
[29:02] 像这个它又依赖这三个
[29:04] 那这个又依赖这个
[29:05] 我们现在看一看
[29:06] 那我们现在看一看
[29:09] 实际上这里面所对应的
[29:12] 其实你在这里面都能够找到
[29:14] 就我们在装Vite的时候
[29:16] 它把Vite背后所依赖的这些也都装了进来
[29:19] 也都装了进来
[29:20] 所以现在你可以理解
[29:22] node_modules为什么它里面的东西这么大了吧
[29:23] 为什么它里面的东西这么大了吧
[29:25] 那Vite装在了哪
[29:27] 如果我们认真看
[29:29] 我们会发现这里面有两个Vite
[29:31] 第一个就是这个
[29:32] 就是node_modules下面就直接有一个Vite
[29:33] 下面就直接有一个Vite
[29:34] 第二个
[29:34] 第二个是这里
[29:35] 是这里
[29:36] 这下面有一个点
[29:36] 这里这下面有一个.bin就是Binary
[29:37] 就是binary
[29:39] 这里面也有一个Vite
[29:41] 这俩呢不一样
[29:41] 这俩不一样
[29:42] 这俩你别搞混
[29:43] 就是这个跟这个
[29:45] 我说一下它们的区别是什么
[29:47] 这个
[29:48] 这个node_modules下面的这个Vite
[29:49] node_modules下面的这个Vite
[29:52] 这是一个文件夹
[29:53] 它里面
[29:53] 它里面是这个Vite的代码本身
[29:55] 是这个Vite的代码本身
[29:57] 我们npm拉下来的Vite代码就在这
[30:01] 那这个
[30:02] 这个node_modules下面
[30:04] 下面点.bin
[30:05] 点.bin
[30:06] 下面这个Vite
[30:08] 这是一个可执行的命令
[30:10] 等会我们要用Vite的时候
[30:10] 等我们要用Vite的时候
[30:11] 我们用的就是这个命令
[30:13] 那我们接下来就来跑一下这个命令
[30:16] 怎么跑
[30:19] 因为这个命令在当前目录下的
[30:23] node_modules下面点.bin
[30:23] node_modules下面点.bin
[30:26] 我们确认一下
[30:28] node_modules下面点.bin
[30:28] node_modules下面点.bin
[30:32] 然后Vite
[30:33] 我们就把它的名字输进来
[30:36] 然后按回车
[30:37] 看到没
[30:38] Vite当场就在本地起了一个服务器
[30:42] 它会给你一个地址
[30:43] 就是这个
[30:45] 那知识点来了
[30:46] http我们懂
[30:47] 5173
[30:49] 这个是个端口号
[30:50] 我们以前也讲过
[30:52] 那localhost是啥
[30:54] 看上去像是一个域名
[30:56] 但是长得有点不一样
[30:57] 这个
[30:58] 代表的就是我们本地电脑
[31:01] 也就是说
[31:02] 用http访问我们自己电脑上的5173端口
[31:06] 5173端口
[31:07] 我们可以访问一下试试
[31:09] 就复制这个地址
[31:19] 你看
[31:20] 你看网站跑起来了
[31:22] 点导航在两个页面之间切换也都正常
[31:23] 在两个页面之间切换
[31:26] 也都正常
[31:26] 所以用了这个Vite
[31:27] 所以用了这个Vite
[31:29] 是不是尽管我们这个网站是做过模块化改造的
[31:30] 尽管我们这个网站是做过模块化改造的
[31:34] 那么我们也可以不用发布到远程服务器上去
[31:38] 就在我们本地起一个服务
[31:41] 让我们在本地预览
[31:42] 而且最爽的是什么
[31:45] 最爽的是我现在如果说改一行代码
[31:46] 我现在如果说改一行代码
[31:48] 就我就在这里去改
[31:50] 比如说我改这个html
[31:53] 改这个
[31:54] 现在这个标题是
[32:00] 关于我
[32:01] 那如果说我们在这里给它改成
[32:03] 关于我
[32:04] 关于我自己
[32:06] 然后
[32:07] Command+S保存
[32:10] 看到没
[32:11] 就这么快
[32:13] 然后比如说我把自己
[32:15] 这两个字去掉
[32:16] 然后我们再保存
[32:19] 这里面立马就变了
[32:20] 我们连刷新都不用刷新
[32:22] 这个就是我前面说的热更新
[32:25] 那还记得咱们开始说的这个痛点吗
[32:27] 这个痛点吗
[32:30] 在哪
[32:31] 哎这个
[32:33] 这个
[32:35] 这个痛点到这就解决了
[32:37] 上一节我们改点东西
[32:39] 看一眼效果要push pull
[32:41] 然后刷新一整轮
[32:43] 现在呢改完一眨眼就看到了
[32:44] 一眨眼就看到了
[32:46] 这个给我们的开发工作提供了很大的便利
[32:50] 但是Vite还不止这个
[32:52] 我们先把这个
[32:56] 我们先把这个服务器停掉
[32:57] 怎么停
[32:58] 如果是mac os
[33:00] 就按这个Ctrl+C
[33:00] 就按这个Ctrl加C
[33:04] 然后就停了
[33:05] 如果你是windows的cmd
[33:06] 如果是Windows的CMD
[33:08] 那么命令
[33:09] 我查了一下应该是用Ctrl+C
[33:09] 我查了一下应该是用Ctrl加C
[33:11] 如果是windows的powershell
[33:14] 命令呢应该是用Ctrl+Shift+C
[33:15] Ctrl+Shift+C
[33:17] 那刚才我们做的这个事
[33:20] 叫做开发预览
[33:21] 那注意
[33:21] 我们用Ctrl+C把它停掉之后
[33:23] 把它停掉之后
[33:24] 这个再访问就访问不到了
[33:26] 如果我们想要再访问
[33:27] 我们就还是要用刚才
[33:29] 刚才这个Vite命令
[33:30] 刚才这个Vite命令
[33:33] 那这个命令叫做开发预览
[33:37] 但是Vite作为一个构建工具
[33:37] 但是Vite作为一个构建工具
[33:40] 什么是构建
[33:41] 我们目前还没有让他做过
[33:43] 它做过构建这个动作
[33:45] 构建这个词有几种说法
[33:47] 还有一种说法
[33:48] 叫打包
[33:49] 它的英文名称
[33:49] 他的英文名称
[33:50] 叫build
[33:51] 接下来
[33:52] 我们就让它build一次
[33:54] 就在Vite后面加一个build
[33:57] 对就这样
[33:58] 好等一下
[33:59] 我们先不用先不要执行
[33:59] 我们先不要执行
[34:01] 我们就看着这个
[34:04] 如果说我们执行build之后会怎么样
[34:07] 注意看这里
[34:08] 回车
[34:10] 哎看到没
[34:11] 这里也发生了变化
[34:13] 多出来了一个叫做dist的文件夹
[34:16] 这个dist它是distribution的意思
[34:20] 我们打开看一眼它的结构
[34:23] 首先这里面有一个index.html
[34:26] 还有一个assets这个目录
[34:28] 这个目录它里面是一个css文件和一个js文件
[34:34] 你注意看我们原来css里面这是有8个文件
[34:36] 我们原来css里面这是有八个文件
[34:41] 但是现在在这个dist/assets里面
[34:41] 但是现在在这个this.assets里面就只有一个css文件
[34:44] 就只有一个css文件
[34:46] 我们那几个js模块
[34:46] 我们那几个js模块现在也就是一个js文件
[34:50] 现在
[34:50] 也就是一个js文件
[34:52] 这个构建的动作
[34:54] 就是把它们都合并了
[34:55] 就合并成一个
[34:57] 这样合并之后
[34:58] 这个以后浏览器在用的时候
[35:00] 请求数量就从十几个减少到了几个
[35:04] 所以在这里的第二个问题
[35:06] 我们也解决了
[35:07] 那再看这俩文件的名字
[35:10] 这个名字后面
[35:10] 这个名字后面挂着一串乱码
[35:12] 挂着一串乱码
[35:14] 那这个是干嘛的
[35:15] 有同学就说了
[35:17] 老师我知道
[35:18] 这个就是解决浏览器缓存问题的
[35:21] 对 没错
[35:22] 这一串就是哈希
[35:23] 这串就是哈希
[35:25] 它是根据文件内容
[35:27] 去自动算出来的
[35:29] 所以文件内容只要一改
[35:31] 这一串就会变
[35:33] 这一串变了
[35:34] 整个文件名就变了
[35:36] 浏览器一看名字不一样
[35:37] 就不会再去走缓存了
[35:39] 所以第三个问题也解决了
[35:43] 好 接下来这还有一个小问题
[35:43] 那接下来这还有一个小问题
[35:46] 你可能注意到了
[35:47] 这个dist里头
[35:49] 怎么只有index.html
[35:49] 怎么只有这个index.html
[35:52] 没有我们这个textlab.html
[35:52] 没有我们textlab.html
[35:56] 我们明明有两个html页面
[35:57] 我们明明有两个html页面
[36:00] 为什么只变成了一个
[36:01] 难道也是打包合并进来了吗
[36:03] 这个不是
[36:05] 这是因为Vite打包的时候
[36:05] 这是因为Vite打包的时候
[36:07] 它默认只认一个入口
[36:10] 就是根目录里面
[36:12] 我们项目根目录里面
[36:13] 这个index.html
[36:15] 如果我们想让这两个页面都打包进来
[36:18] 就得给Vite加一个配置
[36:21] 就是得告诉它我有俩入口
[36:22] 我有俩入口
[36:24] 不过这个配置
[36:25] 我们这节课就不做了
[36:27] 为什么
[36:28] 因为下一节课
[36:29] 我们就要把项目改成react了
[36:33] 到那个时候
[36:34] 两个页面很自然的
[36:36] 就会合成一个index.html
[36:38] 那这个多入口的麻烦
[36:40] 以后就不会存在了
[36:43] 所以学这个配置没啥用
[36:45] 这个问题
[36:46] 咱们就留到下一节的时候去解决
[36:49] 那我们刚才试了两个命令
[36:51] 一个是Vite
[36:52] 一个是Vite build
[36:54] 而且
[36:55] 我们现在也知道了
[36:56] 这个build构建之后
[36:58] 会生成这个dist目录
[37:00] 这个是我们打包好的产物
[37:03] 或者说是构建好的产物
[37:04] 那这个产物我们能不能在本地去看它
[37:06] 我们能不能在本地去看它
[37:09] 如果我们想要看的话
[37:10] 我们怎么看
[37:12] 注意这个文件现在仍然是不能双击打开的
[37:13] 这个文件
[37:14] 现在仍然是不能双击打开的
[37:17] 为什么
[37:17] 我们看这里
[37:20] 这个打包之后的或者构建之后的文件
[37:22] 或者构建之后的文件
[37:24] 它在引入JS的时候
[37:26] 仍然是按照这个tab等于module这样的写法来去写的
[37:27] tab等于module这样的写法来去写的
[37:30] 我们说过只要说是这样写
[37:31] 只要说是这样写
[37:33] 它就是ES模块
[37:35] 只要它还是ES模块
[37:36] 就不能本地file双击打开
[37:39] 那如果要想在本地看一看
[37:42] 看一看构建的是否成功
[37:44] 怎么看
[37:46] Vite还给我们准备了第三个命令
[37:46] Vite还给我们准备了第三个命令
[37:48] 是什么
[37:50] 就是这个Vite preview
[37:55] 这个命令
[37:56] 它是会专门起一个本地的web服务
[37:59] 来提供Dist这个文件夹的资源
[38:03] 那我们就看一下
[38:05] 这个是4173
[38:07] 注意
[38:12] 刚才那个是5173
[38:13] 就是刚才用Vite的那个是5173
[38:13] 就是刚才用V的那个是5173
[38:17] 这个preview这个是4173
[38:20] 现在我们看到的
[38:22] 就是它构建之后的那个dist下面的资源
[38:24] 那个dist下面的资源
[38:26] 我们这个时候再去点这个检查
[38:29] 去看一看它的这个network
[38:32] 好我们刷新一下
[38:36] 看到没
[38:37] 这里面的这个已经明显变少了
[38:38] 这个已经明显变少了
[38:40] 它就只有一个这个css
[38:42] 当然
[38:43] 现在js还是有两个
[38:45] 这个我们等会再说
[38:46] 所以
[38:47] 现在我们的这个请求就干干净净
[38:51] 可以说效果
[38:52] 是立竿见影
[38:54] 那到目前为止
[38:56] 我们再来看一看我们的这个目录
[39:03] 这个时候有一个很重要的概念
[39:05] 我们就要在我们自己的心里面去建立起来了
[39:08] 我们现在的项目里面
[39:11] 或者说我们现在手上
[39:12] 其实已经有了两份东西
[39:14] 一份
[39:16] 是我们维护的代码
[39:18] 就是我们原来的这些
[39:20] 像JS
[39:23] CSS
[39:24] 就是这个就是仍然还是我们上一节课
[39:24] 就这个就是仍然还是我们上一节课
[39:27] 写的那些代码
[39:29] 然后也包括这个index.html
[39:31] index.html
[39:32] 甚至包括这个README
[39:32] 甚至包括这个README
[39:34] 这些都是我们维护的
[39:36] 我们叫做源代码
[39:36] 我们叫做原代码
[39:37] 这些源代码
[39:37] 这些原代码
[39:38] 它的特点就是
[39:40] 这些代码呢很好读
[39:40] 这些代码很好读
[39:42] 这个是给人看的
[39:43] 也是给人改的
[39:44] 另一份
[39:46] 是真正上线跑的
[39:48] 就是这个dist
[39:48] 就是DIST
[39:50] 它里面呢文件很少
[39:50] 它里面文件很少
[39:52] 并且这个文件里面是压缩过的
[39:52] 并且文件里面是压缩过的
[39:55] 文件名也是改了名字
[39:57] 就是给浏览器用的
[39:59] 这个内容就不是给人读写的了
[40:02] 我们看一看
[40:04] 看到没
[40:06] 它连换行符都没有
[40:08] 包括这个也是一样
[40:12] 看到没
[40:13] 连换行符都没有
[40:14] 这个就是被压缩过的代码
[40:14] 这个就是被压缩过的这个代码
[40:17] 这就不是给人读的
[40:19] Vite作为构建工具
[40:21] 干的事情就是把这些方便给人看
[40:23] 方便给人看
[40:25] 方便给人写的这些代码文件
[40:28] 转换成这种适合浏览器的文件
[40:32] 每次构建
[40:33] 这个dist目录下面的文件
[40:36] 都会被重新的生成一次
[40:38] 所以
[40:39] 原代码跟构建之后的这个代码
[40:39] 所以原代码跟构建之后的代码
[40:43] 这是两份东西
[40:45] 我们别搞混
[40:46] 以后如果说你要去维护
[40:53] 以后
[40:54] 如果说你要去维护
[40:57] 包括你让AI给你写代码也是一样的
[40:59] 也是一样的
[41:00] 写的
[41:00] 写的永远都是原代码
[41:01] 永远都是原代码
[41:02] 然后
[41:02] 然后build一次
[41:03] build一次
[41:04] build之后
[41:04] build之后就生成了dist
[41:05] 就生成了dist
[41:06] 千万别去手动改dist里面的文件
[41:09] 因为你改了也是白改
[41:11] 下一次
[41:11] 下一次再做一次build
[41:12] 再做一次build
[41:13] 它就会被覆盖了就没了
[41:14] 就没了
[41:15] 另一个
[41:15] 另一个我们需要知道的是
[41:17] dist这个
[41:18] 这个才是我们真正的要送上线的那一份
[41:20] 要送上线的那一份
[41:22] 那咱们理一下这三条命令的定位
[41:25] 这个定位
[41:26] 首先第一个就是直接执行Vite
[41:26] 首先第一个就是直接执行Vite
[41:30] 这个是我们写代码的时候用的
[41:33] 跑的是原码
[41:34] 我们用这个图的是什么
[41:36] 图的就是它热更新改的快
[41:39] 我们改点什么东西
[41:41] 立马就能看到效果
[41:42] 第二个
[41:42] 第二个是Vite build
[41:43] 是Vite build
[41:45] build之后
[41:45] build之后就会产出一个dist目录
[41:46] 就会产出一个dist目录
[41:49] 这个是给生产服务器
[41:51] 跑的那个版本的代码
[41:53] 第三个
[41:53] 第三个preview
[41:54] preview
[41:55] 这个
[41:55] 这个是让我们本地先预览一下
[41:56] 是让我们本地先预览一下
[41:58] 就刚才build出来的那个dist
[42:02] 所以
[42:02] 所以各有分工
[42:04] 命令很清晰
[42:05] 但是你有没有一个感觉
[42:06] 就是这三个命令太长了
[42:09] 太啰嗦了
[42:10] 那有谁可以帮我们解决这个问题吗
[42:15] 有的
[42:16] 你还记得那个
[42:19] 我们刚才说这个package.json下面
[42:22] 这个script我们待会儿还有用吗
[42:23] 我们待会还有用吗
[42:26] 那怎么用
[42:27] 它就可以解决刚才我们的那个命令太长的问题
[42:31] 它可以干
[42:32] 它可以把我们常用的命令在这登记一下
[42:36] 登记成一个比较简短的命令
[42:39] 我们去看一下这个
[42:42] 就我们就可以在这里去配置三个短命令
[42:46] 第一个呢就是这个dev
[42:48] 它呢我们就可以给它配置这个Vite
[42:51] 就用于我们开发
[42:52] 第二个呢是这个build
[42:54] 它可以我们给它配置
[42:54] 它呢可以我们给它配置这个Vite build
[42:57] 这个Vite build
[42:58] 然后preview也一样
[43:00] 就配置一个Vite preview
[43:02] 配置完之后
[43:03] 我们就可以用这样的写法去写了
[43:07] 就npm run
[43:07] 然后run后面就是写这个
[43:11] 然后就可以实现跟刚才我们执行这些命令一样的效果了
[43:14] 这些命令一样的效果了
[43:17] 我们就直接把这个给复制过去
[43:24] 直接从这复制
[43:25] 但是这个因为它不是最后一项了
[43:27] 所以这个逗号我们要给它保留着
[43:27] 所以这个逗号我们要给它保留这
[43:30] 直接把这个
[43:36] 这个如果要改的话就按tab键
[43:37] 就按tab键
[43:38] 它可以往后面加缩进
[43:40] 你选中它们一起按tab键就加缩进
[43:42] 就加缩进
[43:43] 好我们就给它改成这个样子
[43:44] 我们就给它改成这个样子
[43:46] 这个scripts里面有三个我们配置的简短命令
[43:47] 我们配置的简短命令
[43:49] 所以
[43:50] 改完之后我们再试一下
[43:52] 像刚才我们敲的那个
[43:54] 我们这个先给它
[43:57] Ctrl+C给它取消了
[43:59] 以后我们如果说要再去执行这个preview
[44:01] 比如说要再去执行这个preview
[44:03] 我们就可以不用这么长了
[44:05] 而是什么
[44:06] 而是npm run preview
[44:10] 这个就好记多了
[44:12] 因为前面的呢都是一样的
[44:13] 就是npm run
[44:15] 然后接下来呢就是这个preview
[44:17] 看到没
[44:18] 一模一样的效果
[44:19] 那换一个
[44:20] 比如说我们执行npm run dev
[44:27] 一样的效果
[44:28] 这个是5173
[44:30] 那这样是不是好记多了
[44:32] 你还记得吧
[44:33] 前面我说npm
[44:34] npm你先把它当成一个应用商店
[44:35] 你先把它当成一个应用商店
[44:37] 但它其实不只是个安装包的应用商店
[44:41] 它还可以在一定程度上帮我们管理项目
[44:44] 就通过这个package.json
[44:47] 那这个时候你可能会想一个问题
[44:50] 就是为什么这个里面配置dev
[44:54] build和preview这三个名字
[44:57] 这个是规定死的吗
[44:59] 不是的
[44:59] 这个只是约定俗成的
[44:59] 这个呢只是约定俗成的
[45:02] 你真的不想叫这个名字也无所谓
[45:05] 比如说你把这个dev
[45:06] 你给它改成拼音开发
[45:10] 完全也没问题
[45:11] 我们都可以试一下
[45:13] 那现在你就比如说在这里写开发
[45:13] 那现在就比如说在这里写开发
[45:17] 一样的效果
[45:18] 但是没必要
[45:20] 有约定你就按约定就行
[45:23] 别人怎么写咱也怎么写
[45:25] 这样的话
[45:25] 我们自己容易理解
[45:27] 我们找资料也容易找
[45:29] 更关键的是
[45:30] 哪一天你让AI来帮你管理你的代码的时候
[45:33] 管理你的代码的时候
[45:35] 因为他学到了大量的代码
[45:38] 这个地方写的就是dev
[45:40] 所以AI也能够跟你更好的协作
[45:43] 所以这三个建议你就不要改
[45:46] 不要给自己找麻烦
[45:48] 这个npm run的逻辑
[45:50] 它非常的简单
[45:51] 它就是帮我们跑一下命令
[45:53] 你甚至可以让它跑我们电脑上的其他命令
[45:54] 我们电脑上的其他命令
[45:56] 比如说我在这我再多配一个
[45:57] 我再多配一个
[45:59] 如果我想多配一个
[46:00] 那我可以在这写这个
[46:02] 比如说我在这配一个
[46:04] 哈喽
[46:06] 但是你看
[46:06] 但是你看刚才我们说什么
[46:07] 刚才我们说什么
[46:08] 刚才我们说
[46:09] 如果说是最后一项
[46:11] 就不需要加逗号
[46:13] 但是如果说它不是最后一项的话
[46:13] 但是如果说他不是最后一项的话
[46:16] 那这个时候逗号我们就要给它补上
[46:17] 我们就要给他补上
[46:18] 要不然它就会报错
[46:18] 要不然他就会报错
[46:20] 比如说我们配个hello
[46:20] 比如说我们配个哈喽
[46:21] 哈喽
[46:21] hello这里面我们让它做什么
[46:23] 这里面我们让他做什么
[46:26] 我们给他写一个
[46:26] 我们给它写一个我们熟悉的命令
[46:28] 给一个我们熟悉的命令吧
[46:30] ls行不行
[46:31] ls吧
[46:33] 我们都知道ls是干嘛的
[46:36] 那我们就看一看
[46:38] npm run hello
[46:44] 就是ls
[46:45] 它把我们下面的这些文件和这个字目录给列出来了
[46:48] 文件和这个字目录给列出来了
[46:51] 那我们也可以给它配一个
[46:54] 比如说git version
[46:56] version
[46:59] 一样也没问题
[47:02] 看到没git version
[47:03] 它帮我们打出了现在Git的版本号
[47:03] 它帮我们打出了这个现在git的版本号
[47:07] 所以这个逻辑很简单
[47:10] 它就是在npm run
[47:10] 它就是在那个npm run
[47:12] 然后再加上这个名字的时候
[47:14] 去帮我们执行后面的命令
[47:14] 去帮我们执行后面的这个命令
[47:17] 只不过
[47:17] 只不过在执行命令的时候
[47:18] 在执行命令的时候
[47:19] 它会优先的去找一找
[47:21] 优先去找一找这个
[47:23] 这个node_modules
[47:24] node_modules
[47:25] 这个.bin下面有没有这个命令
[47:27] 如果有的话就用这里面的命令
[47:29] 就用这里面的命令
[47:30] 所以呢这个Vite它才能在这里面找得到
[47:32] 它才能在这里面找得到
[47:33] 但是如果说这里面没有
[47:35] 比如说像这个git
[47:37] 这里面就没有
[47:38] 那如果没有的话
[47:39] 它就会在我们的系统命令里面去找
[47:43] 好那就是这个就是这个点
[47:45] 我们把它给删掉
[47:47] 好那到这儿
[47:48] 构建工具的三条核心命令
[47:51] 我们就全部都体验了一遍了
[47:54] 你在你自己的项目里面
[47:55] 你在你自己的项目里面
[47:56] 可以就是自己瞧一瞧来感受一下
[48:00] 那接下来还有一个问题
[48:02] 就是我们项目里面
[48:04] 现在已经多出来了好几个文件
[48:09] 和这个文件夹了
[48:10] 这些东西以后我们提交代码的时候
[48:11] 以后我们提交代码的时候
[48:13] 他们要不要随着这个git去提交
[48:17] 这个有说法
[48:19] 什么
[48:20] 是这样的
[48:21] 就是这个package.json和package.log.json
[48:23] 和package.log.json
[48:25] 像这两个
[48:27] 我们还是要跟随我们的代码一起提交的
[48:30] 一起提交的
[48:30] 因为这两个
[48:31] 是我们的项目的配置
[48:34] 但是这个node_modules和这个dist
[48:37] dist我们就不要放在那个git里面去提交
[48:38] 我们就不要放在那个Git里面去提交
[48:41] 为什么
[48:42] 因为它俩都是我们用命令去生成的
[48:46] 而且
[48:46] 是我们随时都能够重新生成的产物
[48:50] not modules
[48:50] node_modules
[48:52] 你照着这个package.json
[48:54] 或者是package-lock.json
[48:56] 跑一次这个npm install
[48:58] 就能够重新把它给装回来
[49:01] 那dist
[49:01] 我们照着这个源码
[49:01] 我们照着这个原码跑一次
[49:03] 跑一次
[49:05] 跑一次这个build
[49:06] 我们就能够把它去打包出来
[49:09] 或者说构建出来
[49:10] 既然像这种随时能够重建
[49:14] 那么把它俩塞进git
[49:16] 就是白白占地方
[49:17] 还会拖慢我们远程同步的速度
[49:21] 所以我们就用这个git ignore
[49:21] 所以我们就用Git ignore
[49:25] 去把他们两个给排除掉
[49:25] 去把它们两个给排除掉
[49:28] 那就在这里面
[49:30] 我们就写上两个东西
[49:31] 一个是node_modules
[49:35] 一个是这个dist
[49:36] 写完之后保存
[49:38] 以后
[49:40] 我们这两个再有什么变更的话
[49:43] 就不会被git所发现了
[49:46] 并且你看我们把它两个添加进来之后
[49:49] 刚才这两个还是显示绿色的
[49:52] 现在已经变成显示灰色了
[49:54] 那这个意思就是我们Git已经不管他们了
[49:57] 以后你们想怎么变怎么变
[49:59] 就在我们本地变
[50:01] 至于这个dist
[50:02] 到底怎么样送上线
[50:05] 这个咱们后面几节讲到现在前端的部署
[50:06] 讲到现在前端的部署
[50:08] 到那个时候咱们再细说
[50:10] 那这节课的最后
[50:12] 我们还有一个小小的小问题
[50:14] 我们看这个cast.js吧
[50:16] Cars.js吧
[50:17] 有没有注意到我们这个anime
[50:20] anime
[50:21] 它现在
[50:21] 它现在还是从CDN网址在拉
[50:22] 还是从这个CDN网址在拉
[50:25] 我们上一节
[50:25] 我们上一节已经知道了它的机制
[50:26] 已经知道了它的那个机制
[50:29] 像这种形式
[50:29] 像这种形式它也能跑
[50:30] 它也能跑
[50:31] 但是这种形式总有点不踏实
[50:34] 一个
[50:34] 一个是我们每次打开页面都得联网
[50:34] 是我们每次打开页面都得连网
[50:38] 去人家这边的服务器去拉一份ANIME的代码
[50:39] 去拉一份这个anime的代码
[50:42] 这就多了一次请求
[50:44] 刚才大家还记得吗
[50:46] 就刚才我们在这里去跑的那个
[50:48] 我们去 npm run preview
[50:57] 4173对就是这个
[50:58] 对就是这个
[51:02] network
[51:03] 我们看一下
[51:04] 就本来我们已经打包好了
[51:05] 本来我们已经打包好了
[51:07] 只有一个js
[51:08] 但是这个下面就是多出来了这个
[51:10] 这个你看一下
[51:11] 它就是去请求到
[51:14] 我把这个展开一点
[51:18] 它就是去请求到
[51:20] 这个cdn的地址上去拉回来的
[51:23] 第一是多了一次请求
[51:25] 而且你真的去发现这个时间线
[51:28] 你也会发现我们自己的代码
[51:30] 10毫秒8毫秒
[51:31] 8毫秒
[51:31] 这一个600多毫秒
[51:33] 就增加了一次请求
[51:35] 并且呢拖慢了我们的页面加载速度
[51:38] 另外还有一个
[51:39] 就是万一哪一天
[51:41] 他这个网站挂了
[51:42] 那我们的动画就废了
[51:45] 再一个
[51:46] 就是保不齐
[51:48] 哪一天就我们
[51:50] 我们现在写的像这个
[51:52] 就是这一个版本
[51:54] at4
[51:54] 你保不齐哪一天
[51:56] 它这个小版本一更新
[51:56] 他这个小版本一更新
[51:58] 我们的页面可能就毫无征兆的就变了
[51:59] 毫无征兆的就变了
[52:01] 那既然我们现在已经有这个npm了
[52:03] 这个npm了
[52:05] 既然我们也说
[52:06] npm能把这些库
[52:07] 装到我们本地
[52:08] 还能锁它的版本
[52:10] 那么anime也没必要再栓在别人的这个网站上了
[52:14] 我们可以把它装到本地
[52:16] 怎么装
[52:18] 我们就在
[52:19] 我们先把这个Ctrl+C
[52:26] clear
[52:26] 我们就用这个npm install anime.js
[52:32] 好我先不敲回车
[52:34] 注意看这条命令
[52:35] 它跟我们前面装Vite的那个命令
[52:38] 长得几乎一模一样
[52:40] npm install
[52:41] 然后是这个名字
[52:43] 但是有一个关键的不同
[52:45] 就是它不带那个杠大写的D
[52:48] 现在我们就回车
[52:50] 好接下来我们关注一下
[52:52] 接下来我们关注一下
[52:54] 现在已经装好了
[52:55] 我们在这里关注一下
[52:57] 第一它已经装进来了
[52:59] 它已经装进来了
[53:00] 这个里面像这个node_modules下面已经有这个anime了
[53:03] 下面已经有这个anime了
[53:05] 然后呢第二是我们看这个package.json
[53:06] 第二是我们看这个package.json
[53:10] 现在它下面就不只是有这个Vite了
[53:13] 也有这个anime.js
[53:14] 只不过呢这个anime.js
[53:15] 这个anime.js
[53:17] 它是被写在了这个dependencies下面
[53:20] 而这个Vite呢是写在了dev dependencies下面
[53:22] 是写在了dev dependencies下面
[53:24] 这两个的区别呢就是
[53:26] 就是刚才我们装Vite的时候
[53:26] 就是刚才我们装Vite的时候是加了钢地的
[53:28] 是加了那个刚递的
[53:30] 这里面
[53:30] 这里面就是脚手架
[53:31] 就是脚手架
[53:32] 像Vite
[53:32] 像Vite
[53:33] 就刚才我们举过这个例子
[53:35] 它帮你把房子盖好
[53:36] 盖完
[53:36] 盖完它就撤了
[53:37] 它就撤了
[53:38] 上线的网站里面最后是没有Vite的
[53:39] 最后是没有Vite的
[53:41] Vite就是在帮我们管理我们的代码和构建
[53:41] Vite就是在帮我们管理我们的代码和构建
[53:44] 但是dependencies下面
[53:44] 但是Dependences下面
[53:46] 这个它就是房子的砖
[53:48] 像Anime
[53:48] 像anime
[53:50] 那它是会被构建到我们的最终产物里面
[53:53] 跟着我们上线的
[53:55] 我们的网站运行的时候是真的有在用到它的
[53:57] 是真的有在用到它的
[53:59] 所以这两个虽然说都是用npm装的
[54:02] 但是它在我们项目里面扮演的角色
[54:05] 是完完全全不一样的
[54:07] 这也就是为什么我在这节课的最后才会去安装这个
[54:10] 才会去安装这个animejs
[54:11] animejs
[54:12] 我特意把这两个安装动作隔了这个大半节课
[54:14] 隔了这个大半节课
[54:15] 因为他俩看着像
[54:15] 因为它俩看着像
[54:17] 但是实际上
[54:17] 但是实际上一个是工具
[54:18] 一个是工具
[54:19] 一个是库
[54:20] 安装的时候命令差不多
[54:22] 而且都是用的NPM
[54:24] 但是其实根本就不是一回事
[54:26] 那光装上来还不算用上
[54:30] 我们还得回到我们的这个代码里面
[54:33] 我们要把这串就是很长的网址
[54:36] 换成一个比较干净的名字
[54:38] 换成什么
[54:39] 把这个换成anime.js
[54:41] anime.js
[54:44] 对就换成这个名字
[54:47] 把这个换了
[54:47] 把这个换保存
[54:49] 保存
[54:49] 然后把这个也换了
[54:54] 外面的引号还保留
[54:56] 但是就把网址换成这个
[54:58] 这个anime.js
[55:00] 就这种光秃秃的名字
[55:00] 就是这种光秃秃的名字
[55:01] 在以前浏览器是不认这种写法的
[55:04] 但是Vite会在背后
[55:04] 但是Vite会在背后帮我们把这个名字翻译成
[55:06] 帮我们把这个名字翻译成
[55:09] node_modules下面对应安装的这个库
[55:11] 对应安装的这个库
[55:13] Vite会帮我们把这个指向到这里
[55:14] Vite会帮我们把这个指向到这里
[55:16] 那我们这个项目就能用上了
[55:18] 这一步
[55:19] 就把这个cdn网址改成anime.js
