[00:00] 大家好今天我们讲会话这个是很重要的知识同时呢也非常的有意思我们看这个页面文字实
[45:48] 表是那个模型那边的回复然后呢第三条才是我们这次要问的现在
[45:56] 呢我把这个作为一个请求给发出去他说什么
[46:05] 他说你叫李博我已经记住了这个就是大模型用来维持会话的方式你是不是现在
[46:14] 感觉他已经记住了因为我问他我叫什么名字他说他已经记住了但是大家要知道其实模型还是什么都没记住说
[46:22] 白了他就不会记这个message数组就是这一次会画的记忆他不在模型
[46:30] 那边保存而是在我们这边保存每一次我们都得把曾经的全部对话一起发过去看明白
[46:39] 了吧这个message列表他就是上下文那有朋友问了如果我聊了
[46:47] 句了我再聊第句的时候是不是得把前面句都带上呢是的如果想要
[46:55] 继续有记忆就得把前面句都带上但是这些这些APS是按token来计费的所以聊的
[47:04] 轮次越多每一轮也就越贵另外还有一个限制就是就是这个上下文列表他还不能
[47:12] 无限的扩张大模型都有上下文窗口这个概念如果给的上下文太多前面的就会被裁掉
[47:20] 大家有没有看过那种说法就是我的AI女友记忆崩溃把我忘了其实呢就是
[47:28] 触碰到了这个上下文窗口的大小限制我们做那个AIagent开发都得和上
[47:36] 下文以及大模型的API不断的打交道但本质上还是在围绕一个话题那就是如何保持会话说
[47:44] 回到会话大家看这张表我们的web会话就是前面讲的状态它是存
[47:53] 在服务器就是服务器里面的那张history表可以很大但是我们每次请求的时候都只带
[48:01] 一个ID那就个字符而已但是如果是我们裸掉大模型的API那就是
[48:09] 把状态存在客户端这边每次请求模型端呢都得把全部的历史都带上这里
[48:18] 面说的这个客户端就是现在常见的这些AIagent工具比如说DeepSeekHanisCloudCode
[48:26] CodexOpenCloudWorkBodyPyAgent等如果你想通了这一层你就明白了AI工具里面
[48:34] 那些名词其实也并不神秘所谓的知识库所谓的skill说到底都是在决定往那个上下
[48:42] 文里面放什么东西放多少都只是在管理上下文而已好那这一节
[48:50] 也就讲完了这一节讲完我们整个模块六也就讲完了回头看这六节我们走过的路首先
[48:58] 我们讲生态就是不要重复造轮子优先用别人已经做出来的库然后我们也去学了怎么样
[49:07] 去找一个靠谱的库然后呢根据我们找到的派拼音和SnowNLP的两个库把我们的文字实验室做成了真的接
[49:15] 下来呢我们进入到数据库的环节首先我们先看如果不用数据库我们可以
[49:23] 用文件怎么样存储数据那通过这一节呢我们就理解了数据库存在的必要性那接下来。
[49:31] 这一节我们就也看了几种数据库并且呢上手了SQLite同时也讲了一些关
[49:39] 于性能和资源之间如何做平衡这方面的知识然后我们就把数据搬进了SQLite并且呢重
[49:47] 构了一下项目今天这一节呢我们就不仅有了数据库我们还让每个访客呢都有了自己的历
[49:55] 史给人们的历史认证打好了地基那清点一下我们现在这个
[50:00] 我们现在项目有三样东西构成一个是静态的前端一个是fastAPI做
[50:08] 的后端还有一个是一个SQLite数据库下一个模块我们就要把这一整套搬上我们的云服
[50:16] 务器到时候我们要学习前端在生产地址上怎么样的构建后端用systemd然后变成常驻
[50:24] 的服务并且我们也要学一下域名和反向代理让前后端在上线的时候不用跨源让它们变成
[50:32] 一个前后端同源的结构我们之前埋的很多线在部署的时候就会一次性的全部收回好功能
[50:40] 开发就到这里剩下的我们就进入到模块七就开始我们的部署环节我们下一个模块
[50:49] 见
