[00:00] 大家好今天咱们讲现代前端的第三讲React这个前端开发框架我们先
[47:09] 这页面里面的这些零件那我们这个项目就像是搭积木一样就这样搭起来了现在我们整个项
[47:17] 目中啊只剩下一个这个html文件了并且呢它现在作用就只有一个嘛就是把React组件挂进来
[47:25] 那如果我们接下来再去做构建的时候也就只会构建出来一个html文件了这个就是React框架
[47:33] 的实现方式就是只有一个html文件那我们接下来构建一下看一看现在Vite
[47:41] 能不能成功构建我们的这个项目我先把这个预览给停掉npm run
[47:50] build好已经构建完成我们看一下现在构建之后的这个
[47:58] 结果就是一个html然后里面一个js和一个css这些就是浏览
[48:06] 器能够接受的三个格式并且呢这个HTML文件很简单所有的React写的东西
[48:14] 都被打进了这个JS文件里面所以这个JS文件的内容就会很多好的那到这一步呢我们就
[48:22] 进行一次Git提交那就是实现了React改造今天
[48:30] 咱们对项目的改造呢就到这了但是这节课我们还没结束我们回顾一下
[48:38] 刚才我们一步一步的把咱们的项目从一个vanilla项目去改造
[48:46] 成了这个React的结构我们这么干呢是为了学习因为这样一步一步改下来啊我们更容易理解React和
[48:54] 这个vanilla的关系也更容易理解一个React项目呢是怎么样从无到有一层一层长出来的但你以后
[49:03] 真要从零建一个全新的React项目的时候你完全不用这么麻烦其实用这样一条命令就
[49:11] 够了用Vite是可以直接初始化一个React项目的就用这行npm create Vite命令我
[49:19] 给大家演示一下比如说我们进入到我们的
[49:27] 家目录我们可以用npm create Vite第一
[49:37] 步呢它会要我们提供一个项目的名字比如说我们可以叫helloreact然后
[49:45] 接下来让我们选一个框架第一个就是vanilla嘛那我们在这里可以选React第三步呢在这里
[49:53] 选javascript这儿还有一个选项就是这个typescript这个TypeScript呢我们这节课
[50:00] 就不讲了你自己去查一查很容易就可以知道它和JavaScript的关系你只需要知道它在写现代前端的时候可以
[50:09] 替代JavaScript就可以了那我们选完之后在这里就选yes吧可能会需要一点时间
[50:17] 好这个时候就已经初始化完成了我们都可以看一下它这个现在显
[50:25] 示的是什么哦对它已经自动的帮我们去创建了一个这样的getstarted项目
[50:34] 那这里面呢比如说这里面有一些基本的功能已经帮我们实现了在这里点击会有这个数字的增加那我们看一看它初
[50:42] 始化了一个什么样的项目那在这里看一看到
[50:51] 了吗它就一次性的把整套React项目的骨架都给我们搭好了像这个index.
[50:58] html啊包括这个vite.config.js啊这些都已经有了只不过这个项目里面多
[51:06] 出来一个这个ESLint时间关系呢这个也不讲了你可以自己去查一查那课程的结尾我们再思
[51:14] 考一下框架这件事现在呢有这么多框架而且呢框架本身就是一套让我们
[51:23] 写的舒服的写法和规则最后呢Vite再靠这一套规则来翻译框架写的东西如果我们
[51:31] 想通这一层你会不会冒出来一个念头就是那如果我们自己有一套更好的
[51:39] 代码组织的思路我们是不是也能够创造一个新的框架呢比如说我定义我自己的写法然后写完之后
[51:47] 呢我交给构建工具去跑理论上是不是完全也可以没错真的可以造一个框架从技术
[51:55] 上并不是什么遥不可及的事情但是难的是什么呢难的是这套框架有没有生态我们
[52:04] 假设哈你造了一个语法特别优雅的新框架现在呢你要做一个后台管理系统那么你需要一个日
[52:12] 期选择器一个数据表格或者一些图表或者是复文本编辑器这样的组件如果
[52:20] 说你是用React或者是Vue这些东西呢早就有人做好了一行命令装进来然后就能用这两
[52:28] 家的成套的组件库都极其的丰富还记得这节课开头我说选React或者是Vue主要
[52:36] 是图他那个又大又厚的生态吗那这就是答案他俩之所以是我们最该挑选的那两
[52:44] 个也正是因为生态厚到了这个地步那如果是换成我们做了一个全新的框架呢对不起什么
[52:53] 现成的都没有全都得我们自己从零造不说别的就单单说一个日期选择器吧看着简单
[53:01] 如果说你要真的把它做到好用没有bug各种边界都对齐那就能耗时好几天那这就是生
[53:09] 态一个框架值不值得用很大程度上不是说看他的语法有多么的优雅写起来有多简单
[53:17] 而是看他背后有多少现成的轮子能直接拿来用React和Vue之所以是主流最硬的
[53:26] 护城河也就是他们背后那些海量的现成的组件库教程还有呢替我们踩过坑的人
[53:34] 所以为什么我们就在React和Vue里面挑而不是去追求某一个更新潮的小众
[53:42] 框架呢因为生态决定了我们能不能站在别人的肩膀上还记得我们今天整理组件的时候用到的那个
[53:50] 复用吧我们复用的还只是我们自己写的两个组件而已而框架的生态呢让我们复用的是全是全世界
[53:58] 别人写好的东西我给大家看几个组件库啊比如说
[54:06] 这个React Bits我们在这里可以
[54:16] 看到有许许多多的这种很酷炫的这样的组件动画对
[54:26] 就像这样的这样的这样的这样的如果说你是
[54:36] 去开发中后台项目也有一个就比如说这个Ant Design这个
[54:45] 里面呢也是提供了非常非常多的这种做中后台的这样的组件给大家
[54:53] 用
[54:58] 包括这些这样的以及现在也
[55:06] 比较流行的一个那个这个组件库我们可以看到
[55:14] 像这里面比如说定义了非常非常多的各类的组件这些都是
[55:23] 基于React规则的组件库拿来就能用那这些东西才是组件化框架化他们最
[55:31] 大的红利好那这一节的内容呢就是以上这些强烈的建议大家跟着课程做一遍然后
[55:39] 每做一步呢都尝试一下这一步做的事情咱们下一节呢还是围绕这些React组件来开展我们
[55:47] 就把它做扎实顺便呢把网站的内容和结构分开咱们下一节见
