[00:05] 让我们有请出阿里云智能高级技术专家
[25:35] 然后所以的话针对这种场景
[25:37] 我们给他提出了
[25:39] 通过LiteTopic来做一个动态化的订阅
[25:42] 然后以及细粒度的限流
[25:44] 最后达到一个平滑限流的过程
[25:46] 大家可以简单看一下
[25:48] 就是这边这张图
[25:49] 你看他就是他把每个用户请求过来
[25:52] 当他要进行一个排队消费的时候
[25:54] 他就把它放到一个LiteTopic里面
[25:57] 就是U以user id
[25:58] 比如说明它以user id作为一个LiteTopic的名字
[26:02] 然后这样的话
[26:04] 比如说他有10万个用户
[26:05] 那么就在我们这边就会有10万个队列
[26:08] 这10万个队列就是我们它很轻
[26:09] 不用你去创建
[26:11] 你消息
[26:11] 只管发发进去
[26:13] 我就会给你自动生成这10万个队列
[26:14] 然后下游那下游就是这边
[26:17] 他那个有个限流窗口开始消费
[26:20] 他收到这个用户的请求的时候
[26:24] 他会去判断这个用户是不是该限流了
[26:26] 他肯定有一套自己的限流算法和标准
[26:28] 我该不该去对这个用户进行限流
[26:29] 但他要需要对这个用户进行限流的时候
[26:31] 就我们说他调一下一个叫做suspend的接口
[26:34] 那么大家就会看到这整个就是那个
[26:36] 比如说LiteTopic1
[26:37] 又是A这个人
[26:39] 那么他所有的消费以及拉取就全停了
[26:41] 就是比如说这个用户
[26:43] 如果就是这个时候来的数据量很多
[26:44] 把整个是下面的GPU集群打满了
[26:47] 我只要调一个suspend对他进行限流
[26:49] 那么这个用户马上就所有的消费全停止了
[26:52] 拉取也不拉取了
[26:53] 然后所有的窗口都会放出来
[26:55] 给下面的 user2、user
[26:56] 三到user n来使用
[26:57] 这样的话就可以防止
[26:59] 就是我们做像百炼
[27:00] 他们网关是一个大型的平台
[27:02] 最怕的是什么
[27:03] 就是单个用户影响一个集群上面所有人
[27:07] 这样的话会爆炸
[27:08] 半径会非常的大
[27:09] 所以用这样的方案来做一个精细化的限流
[27:13] 然后它可以保证这些用户就是互相不干扰
[27:18] 完全隔离
[27:19] 就是我只限流你
[27:20] 我把你限流了
[27:21] 百分之百不会影响到其他人
[27:23] 那么这边的话就是他们的一个具体的一个
[27:26] 比较简单
[27:27] 这代码实际就很简单了
[27:28] 他就它其实是以user id加模型名字作为一个LiteTopic
[27:33] 就比如说这个user1 去调千问三或者调什么mini max
[27:38] 他都把它排好队
[27:40] 然后根据它下游的能力
[27:41] 那这个地方就是发送
[27:43] 就是在 message 上设一个LiteTopic的名字
[27:46] 加模型的名字
[27:47] 然后把它发出去
[27:47] 这个时候我们就会自动你这个队列
[27:49] 如果是没有的
[27:50] 我们会给你自动创建好
[27:51] 这样的话你在这个场景下
[27:53] 就是这个用户加这个模型下
[27:54] 你就业务上你就有了一个专属队列
[27:56] 那么你就可以把这个用户在这个专属模式下
[28:00] 开始进行排队慢慢处理了
[28:02] 然后消费端也很简单
[28:04] 你收到消息之后
[28:04] 你看一下
[28:05] 如果你需要对它进行限流的话
[28:07] 那么你就调一下这个suspend的把他释放
[28:10] 然后把消费性能释放出来
[28:12] 那么一般来说策略是怎样的
[28:13] 像他们这种
[28:14] 如果你是轻度限流吧
[28:15] 当前窗口时间窗口不够了
[28:17] 你限流个40分钟
[28:18] 这个 50ms 或者 100ms
[28:20] 要把这波用户放到下一个窗口
[28:22] 然后如果你要对它进行一个明显的控速
[28:24] 你它量太大了
[28:25] 那一般来说他们就可能停个
[28:28] 一秒到两秒
[28:29] 然后还有一种场景
[28:30] 就比如说你这个时候发现这个任务没那么重要
[28:34] 这个用户的任务没那么重要
[28:36] 那我下游的资源又不足
[28:38] 就比如说因为像我们集团内也有人调百炼
[28:42] 如果像百炼发现他们如果这个时候比较忙
[28:43] 资源不足
[28:44] 那么可能集团内的用户调用
[28:45] 我给你提个十
[28:46] 我可以
[28:46] 我可以给你停个十个小时
[28:49] 我把你的任务从白天变到晚上
[28:52] 那这样把资源让出来
[28:54] 给优先级更高的业务
[28:56] 白天跑优先级更高的业务
[28:58] 我就停了九
[28:58] 我停个十个小时都没问题
[29:00] 你只要调 suspend 超过
[29:01] 比你这个30分钟的时间
[29:03] 你就设个时
[29:03] 你设个十个小时
[29:04] 自然白天的任务就跑到晚上去了
[29:06] 相当于就是这样的话就可以把固定的用
[29:09] 把一个固定的用户控制在一个固定的速率
[29:12] 以及固定的时间来执行
[29:13] 而不会影响到其他的
[29:15] 在做那种大型的平台的场景下
[29:18] 是一个
[29:20] 目前是就是网关上
[29:21] 是一个我们用的比较多的场景
[29:23] 然后这就是啊他们的一个整体的架构图
[29:26] 大家可以看到
[29:26] 就比如说用户100868788N啊进来
[29:29] 然后每个人就会有一个专属的LiteTopic的队列
[29:32] 然后下游的消费节点会去订阅这些消息
[29:36] 然后当他们发现这个用户可以直接被
[29:39] 不用被限流直接消费的时候
[29:41] 那么他们就直接会去调大模型
[29:43] 然后回结果
[29:43] 如果他们发现
[29:45] 需要对它进行一些对这个用户做一些限速
[29:47] 那么他或者慢慢排队消费
[29:49] 然后就会给他做一个
[29:51] 类似于像suspend的这样操作
[29:53] 就是一般来说还有一种应用场景
[29:55] 就是同步和异步
[29:58] 可以在这里面可以并行玩的时候
[30:00] 就普通用户你进来如果要被限流
[30:02] 你可能直接就给他返回一个就是失败
[30:06] 或者是这样的
[30:07] 就是反正给他返回一个失败
[30:08] 但是对一些比较核心关键的用户
[30:10] 可能他们不接受失败
[30:12] 那么你就可以把它从同步转成异步
[30:14] 给它放在一个专门的队列里面
[30:16] 慢慢排队
[30:17] 慢慢来消费
[30:18] 这样的话让那个更重要的用户
[30:22] 享受就是他的让他业务不至于有损
[30:25] 可以排队慢慢的消费
[30:27] 那第二个
[30:28] 就是我们其实也针对于像年初的时候
[30:31] 像OpenClaw这样的东西
[30:32] 做过一个类似于OpenClaw channel的实现
[30:35] 我们的目标是什么
[30:36] 就是传统的OpenClaw玩法
[30:39] 一般就是人和OpenClaw进行交互
[30:42] 那他可能都向他们提供了一些标准的实现
[30:45] 基本上是针对一些IM平台的
[30:48] 比如什么telegram
[30:49] 还有那什么WhatsApp
[30:51] 还有我们中国的什么微信
[30:52] 钉钉它的交互方式是人到IM再到那个OpenClaw
[30:57] 然后我们
[30:59] 其实现在这个方案就是想做一种尝试
[31:02] 就是让两个系统之间
[31:04] 或者说两个个人系统和OpenClaw之间
[31:07] 或者两个OpenClaw之间
[31:08] 可以通过RocketMQ来做一些任务上的交互
[31:11] 就是我们交互方式是异步的
[31:13] 那么就是说
[31:15] 我们将消息作为两个AI系统之间的桥梁
[31:19] 然后使得OpenClaw它可以从一个就是个人助理
[31:23] 升级为企业级的一个消息的
[31:25] 一个就是处理处理的节点
[31:28] 就是我们不再是像人和 OpenClaw 之间
[31:31] 个人处理交互
[31:32] 而可以变成系统和OpenClaw之间
[31:34] 然后这就是
[31:37] 这有一是一个类似于像就是我们的一些
[31:40] 在设计上一些设计的实现
[31:42] 就是因为我们说了
[31:44] 我们做系统与系统之间交互
[31:46] 那我们一定是要有一套标准的交互协议的
[31:49] 我们不像人和机器交互一样
[31:50] 我们用自然语言来交互
[31:51] 然后让机器来做拆解
[31:53] 这个的话其实就是人和机器交互的特别版
[31:57] 那一般来说我应用和应用之间
[32:00] 机器和机器之间
[32:01] 我们一般是通过明确的协议来进行交流
[32:05] 所以的话这是我们
[32:07] 就是我们自己实现的时候
[32:09] 设计的一套协议的规范
[32:10] 就比如说我们定义了一个
[32:13] message id 作为一个唯一的标识
[32:15] 然后session id作为当前那个这次连接的一个session
[32:19] 管理的一个ID
[32:20] 然后还有就是啊发送方Agent的标识
[32:23] 以及目标节点的Agent的标识
[32:25] 然后类似于大大
[32:26] 这个我就不一一念了
[32:27] 大概的话是就反正这个大家可可以看到
[32:31] PPT上可以看到
[32:32] 然后这是一个整个的流程
[32:37] 我们上游的外部系统
[32:39] 他先发一条消息到RocketMQ
[32:41] 然后这一部分啊就从这一部分到这一部分
[32:45] 其实是属于OpenClaw里面
[32:46] 就是我们做的那个OpenClaw RocketMQ的channel
[32:49] 然后他会去订阅对应的这个消息
[32:52] 就是我每个OpenClaw
[32:53] 我给他一个身份
[32:54] 这个身份就是他的LiteTopic的名字
[32:56] 我去订阅这个LiteTopic
[32:58] 然后收到之后
[32:59] 它会一开始在OpenClaw 连接层做一些处
[33:01] 做一些去重的处理
[33:03] 然后会进入进入到一个我们叫做message handle里面
[33:06] 这个message handle里面就会去根据OpenClaw
[33:09] 它里面那个那个session key
[33:11] 然后来做一些对应的处理
[33:13] 然后把我们这个就是message里面
[33:16] 消息里面包括的内容
[33:17] 组装成OpenClaw需要的一个session key
[33:21] 然后把它传给他的一个session的路程里面
[33:24] 最后当他OpenClaw自己处理完之后
[33:26] 他会去通过那个他的departure
[33:29] Reply
[33:29] Departure
[33:30] 去调一个我们在在我们那个channel里面那个message service
[33:33] 这个message service的作用
[33:34] 就是把最终那个结果
[33:37] 就是就是就是发到下游的系统
[33:40] 或也可以发回上面这个调用方
[33:43] 所以的话通过这样一个流程来实现两个系统
[33:46] 或者说两个 OpenClaw 之间这样一个通信
[33:49] 然后我们这整个过程
[33:51] 他是没有去改任何一行那个OpenClaw代码
[33:54] 然后全是基于他就是他自己开放的那个channel的
[33:57] 实现在它的外侧来做的
[33:59] 这样的话以一个比较轻量级的方式来实现
[34:02] 这个两个 OpenClaw之间的这样的一个
[34:04] 就是任务下发以及结果回写
[34:07] 然后包括同是也包括了那个生命周期的管理
[34:10] 和一个上下文的管理
[34:12] 代码其实也比较简单
[34:13] 就这边的话就是一开始消息进来时候
[34:16] 这个引爆的时候进来的时候
[34:17] 我们会去通过异步订阅的方式
[34:19] 就是这是一个纯粹的事件驱动模型
[34:21] 上游发一个topic给我
[34:22] 我收到之后我去把数据给到那个OpenClaw
[34:26] 就是那个message handle里面
[34:28] 然后让他去解解析消息体
[34:30] 解析完消息体之后去干他需要干的事情
[34:33] 干完之后就是第二步消息处理
[34:35] OpenClaw
[34:36] 它自己会去根据我们根据我们消息
[34:38] message 的那个 session key
[34:41] 然后生成它的session key
[34:43] 然后最后做完了他的相关操作之后
[34:45] 通过他的那个就是大家看到call channel点reply
[34:48] 点discussion那个东西
[34:50] 然后把几调度器去调我们下面的那个message service
[34:54] 那message service就是一个下一步的事件驱动
[34:58] 你如果你是个工作流
[35:00] 那么可能你的就是你的这个
[35:01] 就是里面那个我们说的那个target的topic
[35:04] 你就发一条target的货币数据
[35:06] 就是你message里面
[35:07] 我们肯定会指令告诉你下一个你的源是什么
[35:09] 你去发也可以发给你的下游的消费者
[35:12] 那如果是下游的消费
[35:13] 他可能是个工作流
[35:14] 如果是回写给上游的发送方
[35:15] 那可能就是一个多人的任务交互
[35:17] 那么通过这样的方式
[35:19] 我们可以比较轻量级的完成两个Agent 的
[35:22] 或者说两个 OpenClaw之间的交互
[35:23] 就类似于有点像谷歌那个A2A的协议的一个
[35:27] 实现的流程
[35:28] 然后所以的话就是这个话
[35:30] 就是比如说我们把就是可以用在哪些应用场景
[35:33] 这个就是大家可以看一下
[35:34] 比如说一个工单系统的处理
[35:36] 工单系统
[35:37] 然后产生新的工单的时候
[35:39] 把数据推给RocketMQ
[35:40] 然后RocketMQ推OpenClaw进行自动分析
[35:42] 这个我就反正具体的就不念了
[35:45] 大家大概就看一下
[35:46] 就是针对这样的场景
[35:48] 我们可以做哪些事情
[35:50] 最后的话啊主要就这些吧
[35:52] 谢谢大家
[35:58] 哦有什么问题没有
[35:59] 大家
[36:10] 周老师
[36:11] 我想问一下咱们这个LiteTopic的话
[36:14] 对比传统的那个MQ的topic
[36:18] 它的性能上就是单都是单通道的话
[36:23] 它的性能上有什么差异
[36:25] 它是这样的
[36:26] 从写入从写入上来说
[36:29] 就是它的写入的并发能力肯定是要比之前
[36:32] 因为它队列少
[36:33] 单通道就是肯定是要比那个他就是怎么说
[36:38] 肯肯肯定就是它承载的上限的峰值
[36:41] QPS峰值肯定是要低一点的
[36:43] 所以这种但这种场景是有解法的
[36:45] 就从当中写出来的
[36:46] 比如说如果你一个我们以user id作为一个
[36:50] 就是LiteTopic的话
[36:51] 如果你的量会比较大
[36:53] 你可能怕一个单通道会写的比较慢
[36:55] 单通道写的比较慢
[36:56] 你可以进行一些简单的拆解
[36:58] 比如说你可以把它拆成user杠一
[37:00] user杠二
[37:01] UER杠三的拆分
[37:02] 因为你这个拆分是没有成本的
[37:04] 你能懂我的意思吧
[37:05] 啊明白对
[37:06] 就你发送随便打标
[37:07] 然后这是第一个要消费的话是这样的
[37:08] 因为它是顺序消费的
[37:10] 所以它的对标是对标
[37:12] 以前我们的顺序消费的消息
[37:14] 它的并发能力是对标
[37:16] 然后目前来看就是跟那种传统的非顺序式消费
[37:19] 那肯定是没有它快的
[37:20] 大概的话可能现在一个单通道的
[37:22] 就是这么一个消费的QPS
[37:24] 大概能够做到8000到1万
[37:26] 能8000到1万
[37:28] 就是每秒消费的QPS能做到8000到1万
[37:30] 然后如果是做那种就是端到端的通信
[37:33] 就比如你发一条消息到你接收
[37:36] 就这条链路
[37:37] 大概因为我是顺序是我说因为我是顺序的
[37:39] 我跟传统的像RocketMQ的顺序消息比
[37:42] 它是没有明显的差别
[37:44] 在那个消息这个耗时上
[37:46] 然后跟普通的并发消费的消费的话
[37:49] 那可肯定是需要大概慢个五到10ms的样子
[37:52] 这也是跟以前基本对标的
[37:54] 那还再问一个问题
[37:56] 就是作为消费者
[37:58] 他的那个就事件的通知机制
[38:01] 和原来的有什么不同
[38:03] 原来是轮询
[38:04] 原来就是说我一个 Topic 比如 100 个队列
[38:07] 我一个消费者来了
[38:08] 我每个队列我就看下有没有消息
[38:09] 有我就拉走
[38:10] 没有我就过去
[38:11] 那么因为我现在这个我说了
[38:13] 我 LiteTopic 创建成本很低
[38:14] 那我有可能一台机器上
[38:15] 是不是可能存在100万个队列
[38:17] 我去轮询可能效果会非常效率非常低
[38:20] 大部分可能是没有消息的
[38:21] 所以这个成本非常高
[38:23] 所以现在改成了一个ready set
[38:24] 就是每台客户端我给他准备一个ready set
[38:27] 类似于像那个apple那个模型
[38:29] 然后有数据进来的时候
[38:30] 我给它放进去
[38:31] 那么我就只用去每个机器
[38:33] 只用去管我自己的那个那个事件
[38:35] 对啊对深对
[38:36] 其实本质上是一个就是用空间换时间的方法
[38:41] 是这样的
[38:41] 就是在内存消耗上会比以前高
[38:44] 那用它
[38:45] 但是在时间上这样的话
[38:46] 基本上能把以前时间上的gap抹平
[38:48] 是这样好
[38:49] 谢谢
[38:56] 想看原话
[38:57] 举个手
[39:03] 老师你好
[39:04] 就是我看到这个说消息通信的
[39:08] 就是在HiClaw里面有一个Matrix
[39:10] 对
[39:11] 就是这个您您这个来着来
[39:14] topic跟那个Matrix的区别是什么
[39:18] 应用场景有什么不同
[39:19] 我们其实还有点不一样
[39:21] 就是它因为那个东西
[39:22] 本质上
[39:23] 一开始它是一个类似于像聊天室这样的场景
[39:26] 然后首先从业务层面来说
[39:27] 他是个聊天室
[39:28] 我们其实是没有这个概念的
[39:29] 我们比他更底层
[39:30] 我们是做通信的
[39:32] 我们做通信
[39:32] 它其实上面除了通信以外
[39:34] 它有业务
[39:35] 然后他是个HTTP模型
[39:37] 它有它是有业务的
[39:38] 这一层呢我们是不涉及的
[39:40] 我们本身首先只做Agent 的
[39:42] 或者说系统系统之间的通信
[39:44] 所以上面那些room那些概念跟那个 Matrix
[39:46] 那这层我们是不一样
[39:47] 他比我们更偏业务
[39:49] 我们如果跟它比的话
[39:50] 我们更像基础基础设施
[39:52] 这是从我们产品的定位来说是不一样的
[39:54] 第二点就是事实上我们跟HiClaw是可以结合的
[39:59] 就是我说的它上面那层 room 跟我没关系
[40:02] 但它下面的通信其实我们是可以做的
[40:04] 而且在昨天我还在跟HiClaw的TL
[40:08] 我们还在聊这个事情
[40:09] 就比如说我们聊了一下
[40:10] 我们怎么把
[40:12] 它里面有很多 Agent 的这些事件驱动
[40:14] 它目前的方案是什么
[40:15] 就是我们说的轮询
[40:16] 它有个叫做
[40:17] 应该叫做MinIO这样的一个开源系统
[40:19] 它类似于像类似于像是一个对象存储
[40:21] 把所有的事件先放进去
[40:23] 然后每台机器不停去轮询
[40:24] 看有没有我的事件
[40:25] 这其实就是一个就是怎么说
[40:29] 就是比较低效的方案
[40:30] 那么可能在未来HiClaw我们就方案定好之后
[40:35] 可能会改成
[40:35] 就类似于通过我们消息中间件来做事件驱动
[40:37] 以及一个结果的回写
[40:38] 这样的话可以把它从一个轮询的架构
[40:41] 改成一个消息通知的机制
[40:44] 就像那个MCP
[40:45] 他们自己那个Roadmap里面写的一样
[40:47] 就他们他们目前那个task也是一个轮询的机制
[40:49] 但是他说他也说了
[40:50] 这不是终态
[40:51] 因为面对一个要执行好几天或者好几个小时
[40:54] 任务
[40:55] 轮询成本是非常高的
[40:56] 所以他们未来的演进
[40:57] 也是要往这个异步推送来做
[41:00] 所以其实我们跟HiClaw里面的Matrix本身
[41:03] 既不不算竞争关系
[41:04] 也不算同类产品
[41:05] 我们甚至可以跟他们结合一起合作
[41:08] 是这样
[41:08] OKOK
[41:10] 其实我觉得两个场景可能是不太一样
[41:12] 就是Matrix我可能更想做一个人和agent
[41:16] agent跟agent的交流
[41:17] 这个开会甚至视频视频视频那个开会这种场景
[41:22] 还有就是这个Matrix和 NATS就是NATS
[41:26] 其实也是消息队列
[41:27] 就是很早过年那段时间我就在用了
[41:30] 这是为什么开始没选择RocketMQ
[41:33] 我觉得比较重
[41:34] 是然后你这个LiteTopic给出来之后
[41:36] 你觉得您您的建议是我继续用 NATS
[41:38] 还是可以换成您这个
[41:40] 我觉得我们比 NATS 性能好
[41:41] 你可以试一下
[41:42] 我觉得我觉得其实你试一下
[41:44] 你可以试一下
[41:45] 比较一下
[41:45] 我的建议其实没那么重要
[41:47] 就好不好
[41:48] 其实你自己试过就知道我你问我
[41:50] 我肯定是我们比 NATS 好
[41:51] 我的建议就是你试一下
[41:53] 就是这个是换成LiteTopic之后
[41:56] 是内存消耗会更大
[41:57] 但对于我觉得对大部分场景来说
[42:00] 其实应该没有这个问题
[42:01] 因为你能跑多少个队
[42:02] 你能跑100万个吗
[42:04] 应该跑不到吧
[42:05] 应该几千个也就能几千个
[42:07] 就是根本就没在我看来就是根本开销
[42:09] 就是跟传统的比
[42:11] 基本上是没有区别
[42:12] OKOK我因为我就是我说的
[42:14] 我说做大型分布式系统出身的
[42:16] 我们以前RocketMQ集团内承载的压力
[42:18] 就算双11的时候
[42:19] QPS都是几个亿的
[42:21] QPS我是做大
[42:22] 所以我们的设计方案一定是一个能够支持10万
[42:25] 百万级这样一个会话规模
[42:27] 这件场景我们是做大型
[42:29] 所以我刚才跟这位同学聊的
[42:31] 这个朋友聊的那个什么性能问题
[42:33] 说这种东西可能都是要在一定的规模量以后
[42:36] 或才可能才会看到的
[42:37] 如果你只有几千几万个甚至10万个以内
[42:40] 只要你不是那种什么0.5核2G的机器
[42:43] 那我觉得都没问题
[42:44] OK好
[42:45] 谢谢老师
[42:46] 谢谢老师
